,person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length
0,24,65000,RENT,8.0,VENTURE,E,15000,16.32,1,0.23,Y,4
1,27,72000,RENT,3.0,DEBTCONSOLIDATION,D,25000,15.95,1,0.35,Y,6
2,21,28800,MORTGAGE,0.0,DEBTCONSOLIDATION,A,5000,7.49,0,0.17,N,3
3,30,90000,RENT,14.0,PERSONAL,D,10000,15.62,0,0.11,Y,6
4,30,61000,MORTGAGE,4.0,PERSONAL,A,4500,6.54,0,0.07,N,6
5,25,120000,MORTGAGE,2.0,PERSONAL,F,10000,20.99,0,0.08,N,4
6,22,43200,RENT,4.0,EDUCATION,C,3000,13.72,0,0.07,Y,3
7,33,45000,MORTGAGE,3.0,EDUCATION,D,8000,16.49,1,0.18,N,7
8,29,140000,MORTGAGE,13.0,VENTURE,A,12600,10.99,0,0.09,N,6
9,25,42000,RENT,2.0,MEDICAL,D,6750,17.27,1,0.16,N,2
10,25,35000,RENT,9.0,VENTURE,B,1000,11.99,0,0.03,N,3
11,24,110400,MORTGAGE,8.0,VENTURE,A,3000,7.49,0,0.03,N,4
12,27,45000,MORTGAGE,4.0,MEDICAL,A,5000,6.03,0,0.11,N,9
13,31,23000,OWN,13.0,PERSONAL,A,4500,5.79,0,0.2,N,9
14,27,44400,RENT,7.0,VENTURE,B,7000,10.0,0,0.16,N,6
15,44,72136,RENT,7.0,HOMEIMPROVEMENT,F,25000,19.41,1,0.35,N,17
16,28,63000,RENT,12.0,HOMEIMPROVEMENT,B,18000,10.65,0,0.29,N,9
17,29,48000,RENT,1.0,MEDICAL,A,8800,8.49,0,0.18,N,9
18,31,41004,MORTGAGE,5.0,DEBTCONSOLIDATION,A,4000,10.99,0,0.1,N,5
19,25,19200,RENT,6.0,EDUCATION,E,4000,19.03,1,0.21,Y,4
20,37,55000,OWN,2.0,VENTURE,B,24375,10.37,0,0.44,N,13
21,26,90000,RENT,1.0,DEBTCONSOLIDATION,B,7200,9.91,0,0.08,N,2
22,23,60000,OWN,8.0,EDUCATION,A,20000,7.49,0,0.33,N,3
23,23,95004,RENT,2.0,EDUCATION,A,5000,9.63,0,0.05,N,4
24,24,54000,RENT,5.0,PERSONAL,A,2400,8.0,0,0.04,N,3
25,23,36000,OWN,4.0,VENTURE,A,5500,5.42,0,0.15,N,3
26,28,38400,MORTGAGE,0.0,MEDICAL,A,10000,10.99,0,0.26,N,6
27,23,72000,MORTGAGE,7.0,EDUCATION,A,7000,6.17,0,0.1,N,3
28,21,42000,RENT,4.0,DEBTCONSOLIDATION,A,4500,6.03,0,0.11,N,4
29,40,49788,RENT,1.0,DEBTCONSOLIDATION,A,1500,9.32,0,0.03,N,16
30,27,90000,RENT,4.0,VENTURE,A,10000,7.49,0,0.11,N,9
31,28,24000,OWN,4.0,VENTURE,A,3000,6.91,0,0.13,N,5
32,25,33600,MORTGAGE,1.0,VENTURE,B,12000,9.99,0,0.36,N,3
33,23,30000,RENT,0.0,EDUCATION,C,6300,14.35,0,0.21,N,4
34,37,39600,RENT,2.0,PERSONAL,C,11500,13.48,0,0.29,N,15
35,21,47000,MORTGAGE,2.0,MEDICAL,A,5400,8.9,0,0.11,N,3
36,24,46000,MORTGAGE,8.0,PERSONAL,A,2000,7.66,0,0.04,N,2
37,30,66000,MORTGAGE,15.0,VENTURE,B,15000,11.14,0,0.23,N,8
38,22,32000,MORTGAGE,4.0,EDUCATION,A,11050,7.49,0,0.35,N,2
39,21,46800,RENT,2.0,PERSONAL,A,5000,9.32,0,0.11,N,3
40,35,90000,RENT,4.0,PERSONAL,A,13000,9.32,0,0.14,N,9
41,40,95892,OWN,19.0,MEDICAL,B,15000,12.18,0,0.16,N,14
42,22,20000,RENT,1.0,DEBTCONSOLIDATION,B,6500,10.99,1,0.33,N,2
43,35,170000,MORTGAGE,6.0,EDUCATION,A,6500,7.49,0,0.04,N,10
44,28,92000,MORTGAGE,5.0,VENTURE,A,6000,6.76,0,0.07,N,9
45,25,31500,RENT,8.0,DEBTCONSOLIDATION,A,14850,8.9,1,0.47,N,4
46,27,90000,MORTGAGE,4.0,PERSONAL,A,15000,10.99,0,0.17,N,6
47,24,65000,MORTGAGE,8.0,PERSONAL,A,2500,6.39,0,0.04,N,3
48,22,31000,RENT,6.0,PERSONAL,D,15000,10.99,1,0.48,Y,4
49,22,48255,RENT,3.0,VENTURE,A,2000,6.76,0,0.04,N,2
50,30,49200,MORTGAGE,12.0,EDUCATION,A,15025,6.03,0,0.31,N,8
51,54,154000,MORTGAGE,1.0,PERSONAL,B,12000,12.69,0,0.08,N,26
52,37,42000,MORTGAGE,4.0,DEBTCONSOLIDATION,A,3000,6.17,1,0.07,N,13
53,30,42000,RENT,2.0,EDUCATION,B,11000,12.53,0,0.26,N,9
54,24,46000,RENT,4.0,PERSONAL,C,9000,13.22,0,0.2,N,3
55,26,62004,RENT,9.0,DEBTCONSOLIDATION,A,24000,7.9,1,0.39,N,3
56,24,50000,MORTGAGE,8.0,EDUCATION,A,9600,6.99,0,0.19,N,3
57,27,53000,MORTGAGE,6.0,PERSONAL,A,5000,10.99,0,0.09,N,5
58,33,135000,OWN,0.0,HOMEIMPROVEMENT,A,6275,6.91,0,0.05,N,7
59,32,44400,RENT,13.0,MEDICAL,A,15000,7.88,1,0.34,N,9
60,23,32000,RENT,4.0,EDUCATION,A,6400,8.9,0,0.2,N,4
61,26,43000,RENT,3.0,EDUCATION,C,2500,13.49,0,0.06,N,2
62,23,48000,MORTGAGE,7.0,DEBTCONSOLIDATION,B,2500,11.71,0,0.05,N,3
63,23,75000,OWN,5.0,VENTURE,D,12500,15.33,0,0.17,Y,3
64,22,39000,RENT,4.0,MEDICAL,A,5000,6.99,0,0.13,N,2
65,23,25000,RENT,6.0,PERSONAL,C,8000,13.61,1,0.32,Y,4
66,24,59000,RENT,5.0,MEDICAL,D,21500,16.89,1,0.36,N,3
67,22,27360,RENT,5.0,EDUCATION,A,5000,7.51,0,0.18,N,2
